participant,age,education,form,sentence,order,visible,acceptable,correctable,additional,add_inf,acceptable_inf
P001,48,высшее,Old1,3,1,0,0,0,1,подчёркивать - подчеркнуть,0
P002,21,высшее,Old1,3,1,1,1,1,0,,1
P003,44,высшее,Old1,3,1,0,0,0,1,короткие юбки - короткая юбка,0
P004,51,высшее,Old1,3,1,1,1,0,0,,чрезмерный
P005,47,высшее,Old1,3,1,1,1,1,0,,1
P006,46,высшее,Old1,3,1,1,1,1,1,подчёркивать - подчёркнуть,1
P007,35,высшее,Old1,3,1,0,0,0,1,способами - возможностью,0
P008,33,среднее,Old1,3,1,0,0,0,1,исправил пунктуацию,0
P009,51,высшее,Old1,3,1,1,1,0,1,испарвил пунктуацию ,стильный
P010,37,высшее,Old1,3,1,0,0,0,1,подчёркивать - выделить,0
P011,45,высшее,Old1,3,1,0,0,0,1,способами - способом,0
P012,45,высшее,Old1,3,1,0,0,0,1,поменял структуру предложения,0
P013,21,высшее,Old2,10,2,1,1,1,0,,1
P014,48,высшее,Old2,10,2,1,1,1,1,нам - ' ',1
P015,51,высшее,Old2,10,2,1,1,1,0,,1
P015,51,высшее,Old2,8,13,1,1,1,0,,1
P016,22,неполное высшее,Old2,10,2,1,1,1,0,,1
P017,21,неполное высшее,Old2,10,2,0,0,0,1,неполный - ' ',0
P018,33,среднее,Old2,10,2,0,0,0,1,неполный - не полный,0
P019,20,среднее,Old2,10,2,1,1,1,1,нам - ' '; поменял структуру предложения,1
P019,20,среднее,Old2,8,13,1,1,1,1,WO,1
P020,51,высшее,Old2,10,2,1,1,1,0,,1
P021,19,неполное высшее,Old2,10,2,1,1,1,0,,1
P022,45,высшее,Old2,10,2,1,1,1,0,,1
P023,44,высшее,Old3,1,6,1,1,0,0,,появилась
P024,48,высшее,Old3,1,6,1,1,1,1,около - рядом с,1
P025,21,высшее,Old3,1,6,1,1,0,0,,появилась
P026,21,неполное высшее,Old3,1,6,1,1,0,1,когда - как,появилась
P027,47,высшее,Old3,1,6,1,1,0,1,WO,появилась
P028,51,высшее,Old3,1,6,1,1,1,1,около - рядом с ,1
P029,19,неполное высшее,Old3,1,6,1,1,0,0,,появилась
P030,24,высшее,Old3,1,6,1,1,1,1,", - и; когда - как",1
P031,22,высшее,Old3,1,6,1,1,0,0,,появилась
P032,27,неполное высшее,Old3,1,6,1,1,1,0,,1
P033,45,высшее,Old3,1,6,1,1,1,0,,1
P034,20,неполное высшее,Old7,9,8,0,0,0,0,,0
P034,20,неполное высшее,Old7,12,11,0,0,0,0,,0
P034,20,неполное высшее,Old7,11,16,1,1,1,0,,1
P035,20,неполное высшее,Old7,9,8,0,0,0,0,,0
P035,20,неполное высшее,Old7,12,11,1,1,1,0,,1
P035,20,неполное высшее,Old7,11,16,0,0,0,0,,0
P036,21,неполное высшее,Old7,9,8,1,1,0,1,мечта.GEN.SG - мечта.ACC.PL,осуществлю мечты
P036,21,неполное высшее,Old7,12,11,1,1,1,0,,1
P036,21,неполное высшее,Old7,11,16,1,1,1,0,,1
P037,20,неполное высшее,Old7,9,8,1,1,0,1,мечта.GEN.SG - мечта.ACC.SG,исполню мечту
P037,20,неполное высшее,Old7,12,11,1,1,1,0,,1
P037,20,неполное высшее,Old7,11,16,1,1,1,0,,1
P038,67,высшее,Old7,9,8,1,1,0,1,мечта.GEN.SG - мечта.ACC.SG,исполню мечту
P038,67,высшее,Old7,12,11,1,1,1,0,,1
P038,67,высшее,Old7,11,16,1,1,1,0,,1
P039,47,высшее,Old7,9,8,1,1,0,1,мечта.GEN.SG - мечта.ACC.SG,исполню мечту
P039,47,высшее,Old7,12,11,1,1,1,0,,1
P039,47,высшее,Old7,11,16,1,1,0,0,,всегда
P040,19,неполное высшее,Old7,9,8,0,0,0,0,,0
P041,19,неполное высшее,Old7,9,8,1,0,0,0,добьюсь - достигну,0
P041,19,неполное высшее,Old7,12,11,1,1,1,0,,1
P041,19,неполное высшее,Old7,11,16,1,1,1,0,,1
P042,20,неполное высшее,Old8,2,4,1,1,0,0,,стабильной
P043,45,высшее,Old8,2,4,1,1,0,1,примерно - около,размеренной
P044,56,высшее,Old8,2,4,1,1,0,0,,стабильной
P045,46,высшее,Old8,2,4,0,0,0,0,,0
P046,48,высшее,Old8,2,4,1,1,0,1,примерно - около,стабильной
P047,60,высшее,Old8,2,4,1,1,1,1,безопасной - однообразной,1
P048,68,высшее,Old8,2,4,1,1,1,1,безопасной - размеренной,1
P049,39,высшее,Old8,2,4,1,1,1,0,,1
P050,44,высшее,Old8,2,4,0,0,0,1, ' - назад,0
P051,40,высшее,Old8,2,4,1,1,1,0,,1
P052,20,неполное высшее,Old8,2,4,0,0,0,1, ' - назад,0
P053,49,высшее,Old8,2,4,0,0,0,0,,0
P054,33,высшее,Old8,2,4,1,0,0,0,,0
P055,43,высшее,Old8,2,4,0,0,0,0,,0
P056,58,высшее,New1,4,10,0,0,0,1,или - ' ',0
P057,20,неполное высшее,New1,4,10,0,0,0,0,,0
P058,20,неполное высшее,New1,4,10,0,0,0,1,исправил пунктуацию,0
P059,20,неполное высшее,New1,4,10,1,1,1,1,или - либо,1
P060,20,неполное высшее,New1,4,10,0,0,0,0,,0
P061,39,неполное высшее,New1,4,10,1,1,1,1,поменял структуру предложения,1
P062,32,высшее,New1,4,10,0,0,0,1,испарвил пунктуацию,0
P063,45,высшее,New1,4,10,0,0,0,1,испарвил пунктуацию,0
P064,18,неполное высшее,New1,4,10,1,1,1,0,,1
P065,21,неполное высшее,New1,4,10,0,0,0,0,,0
P066,26,высшее,New1,4,10,1,1,1,1,исправил пунктуацию,1
P066,26,высшее,New1,3,13,1,1,1,1,подчёркивать - подчеркнуть,1
P067,50,высшее,New1,4,10,1,1,0,1,исправил пунктуацию,уменьшить количество проблем
P067,50,высшее,New1,3,13,0,0,0,1,способами - способом; подчёркивать - подчеркнуть,0
P068,42,высшее,New1,4,10,1,1,1,1,поменял структуру предложения,1
P068,42,высшее,New1,3,13,1,1,1,1,способами - способом; подчёркивать - подчеркнуть,1
P069,40,высшее,New1,4,10,0,0,0,1,исправил пунктуацию,0
P069,40,высшее,New1,3,13,0,0,0,0,подчёркивать - подчеркнуть,0
P070,18,среднее,New1,4,10,0,0,0,1,исправил пунктуацию,0
P070,18,среднее,New1,3,13,0,0,0,0,,0
P071,41,высшее,New1,4,10,0,0,0,0,,0
P072,42,высшее,New1,4,10,1,1,1,1,исправил пунктуацию,1
P072,42,высшее,New1,3,13,1,1,1,0,,1
P073,50,высшее,New1,4,10,0,0,0,1,исправил пунктуацию,0
P074,47,высшее,New1,4,10,1,1,0,1,или - либо; исправил пунктуацию,уменьшить количество проблем
P075,47,высшее,New1,4,10,0,0,0,1,или - ' ',0
P076,41,высшее,New1,4,10,1,1,0,1,исправил пунктуацию,уменьшить количество проблем
P077,59,высшее,New2,5,4,1,1,1,1,остальных - чем другие,1
P077,59,высшее,New2,8,6,1,1,0,1,казалось бы - кажется,границ
P078,35,высшее,New2,5,4,0,0,0,0,,0
P078,35,высшее,New2,8,6,1,1,0,1,возможностям - у возможностей,границ
P079,18,неполное высшее,New2,5,4,1,1,1,0,,1
P079,18,неполное высшее,New2,8,6,1,1,1,0,,1
P080,20,неполное высшее,New2,5,4,1,1,1,0,,1
P080,20,неполное высшее,New2,8,6,1,1,1,1,бы - ' ' ,1
P081,18,неполное высшее,New2,5,4,1,1,1,1,остальных - чем остальные,1
P081,18,неполное высшее,New2,8,6,1,1,1,0,,1
P082,21,неполное высшее,New2,5,4,0,0,0,0,,0
P082,21,неполное высшее,New2,8,6,1,1,0,0,,ограничения
P083,26,высшее,New2,5,4,1,1,1,0,,1
P083,26,высшее,New2,8,6,1,1,1,0,,1
P084,21,неполное высшее,New2,5,4,1,1,1,0,,1
P084,21,неполное высшее,New2,8,6,1,1,1,0,,1
P085,19,неполное высшее,New2,5,4,1,0,0,0,,0
P085,19,неполное высшее,New2,8,6,1,1,1,0,,1
P086,56,неполное высшее,New2,5,4,1,1,1,1,остальных - чем остальные,1
P086,56,неполное высшее,New2,8,6,1,1,1,1,бы - ' ',1
P087,45,высшее,New2,5,4,1,0,0,1,поменял структуру предложения,0
P087,45,высшее,New2,8,6,1,1,1,1,нет - не имеют,1
P088,19,неполное высшее,New2,5,4,1,1,1,1,остальных -  последующих,1
P088,19,неполное высшее,New2,8,6,1,0,0,0,,0
P089,27,высшее,New2,5,4,1,1,1,0,,1
P089,27,высшее,New2,8,6,1,0,0,0,,0
P090,46,высшее,New2,5,4,0,0,0,0,,0
P090,46,высшее,New2,8,6,1,1,1,0,,1
P091,18,неполное высшее,New2,5,4,1,1,1,1,больше - сильнее,1
P091,18,неполное высшее,New2,8,6,1,1,0,1,возможностям -  у возможностей,границ
P092,18,неполное высшее,New2,5,4,1,1,1,0,,1
P092,18,неполное высшее,New2,8,6,1,1,1,1,предела - пределов,1
P093,18,неполное высшее,New2,5,4,1,1,1,0,,1
P093,18,неполное высшее,New2,8,6,1,1,1,1,нет - не было,1
P094,42,высшее,New2,5,4,1,0,0,0,,0
P094,42,высшее,New2,8,6,1,1,1,0,,1
P095,16,среднее,New2,5,4,1,1,1,0,,1
P095,16,среднее,New2,8,6,1,1,1,0,,1
P096,19,неполное высшее,New3,1,13,1,1,1,0,,1
P097,19,неполное высшее,New3,1,13,1,1,1,0,,1
P098,26,высшее,New3,1,13,1,1,0,0,около - возле,возникла
P099,24,высшее,New3,1,13,1,1,1,1,когда - ка,1
P100,20,неполное высшее,New3,1,13,1,1,1,0,,1
P101,25,неполное высшее,New3,1,13,1,1,1,0,,1
P102,26,неполное высшее,New7,11,7,1,1,1,0,,1
P102,26,неполное высшее,New7,12,9,1,1,1,0,,1
P102,26,неполное высшее,New7,9,12,1,1,0,1,мечта.GEN.SG - мечта.ACC.SG,исполню мечту
P103,18,среднее,New7,11,7,1,1,1,0,,1
P103,18,среднее,New7,12,9,1,1,1,0,,1
